Sort_Order;Full_Species;Species_ID;Parent_ID;English_Name;French_Name;Spanish_Name;Scientific_Name;CDN_Status;Origin;Comment;Avibase_ID;Avibase_Status;Wild_Species_2020;COSEWIC_Species;SARA_Species;2015_MBCA_List;MBCA_Family;Family_Sci;Family_Sci_FR;Family_CmName_EN;Family_CmName_FR;Subfamily;Order;Prev_Species_ID;Prev_CND_Status;Prev_Names_Sci_EN_FR;Technical_Committees;Alpha_Code_BBL;Alpha_Code_FR;BBL_Number;BBS_Number
1;Yes;HITI;;Highland Tinamou;Tinamou de Bonaparte;Tinamú Serrano;Nothocercus bonapartei;DNO;;;66C31E09F8C285D6;;;No;No;No;No;Tinamidae;Tinamidés;Tinamous;Tinamous;;Tinamiformes;;;;N/A;;;;
2;Yes;GRTI;;Great Tinamou;Grand Tinamou;Tinamú Mayor;Tinamus major;DNO;;;42D72AE118D2DE82;;;No;No;No;No;Tinamidae;Tinamidés;Tinamous;Tinamous;;Tinamiformes;;;;N/A;;;;10010
3;Yes;LITI;;Little Tinamou;Tinamou soui;Tinamú Menor;Crypturellus soui;DNO;;;39DD9DD76680A7F0;;;No;No;No;No;Tinamidae;Tinamidés;Tinamous;Tinamous;;Tinamiformes;;;;N/A;;;;10030
4;Yes;THTI;;Thicket Tinamou;Tinamou cannelle;Tinamú Canelo;Crypturellus cinnamomeus;DNO;;;AAB5CEED3FC9EDE1;;;No;No;No;No;Tinamidae;Tinamidés;Tinamous;Tinamous;;Tinamiformes;;;;N/A;;;;40080
5;Yes;SBTI;;Slaty-breasted Tinamou;Tinamou de Boucard;Tinamú Jamuey;Crypturellus boucardi;DNO;;;5183B60E14DE99FD;;;No;No;No;No;Tinamidae;Tinamidés;Tinamous;Tinamous;;Tinamiformes;;;;N/A;;;;10050
6;Yes;CHTI;;Choco Tinamou;Tinamou de Kerr;Tinamú del Chocó;Crypturellus kerriae;DNO;;;2ED97B5485B54942;;;No;No;No;No;Tinamidae;Tinamidés;Tinamous;Tinamous;;Tinamiformes;COTI;;;N/A;;;;
7;Yes;WFWD;;White-faced Whistling-Duck;Dendrocygne veuf;Suirirí Cariblanco;Dendrocygna viduata;DNO;;;A534AFEA126DBD62;;;No;No;No;Yes;Anatidae;Anatidés;Ducks, Geese, Swans;Canards, oies, cygnes;Dendrocygninae;Anseriformes;;;;N/A;;;;
8;Yes;BBWD;;Black-bellied Whistling-Duck;Dendrocygne à ventre noir;Pijije Alas Blancas;Dendrocygna autumnalis;ACC;;;C01A22D6C148AC65;Accidental;Not Applicable - Non applicable;No;No;No;Yes;Anatidae;Anatidés;Ducks, Geese, Swans;Canards, oies, cygnes;Dendrocygninae;Anseriformes;;;Black-bellied Whistling Duck, Black-bellied Tree Duck;WF;BBWD;;1770;01770
9;Yes;WIWD;;West Indian Whistling-Duck;Dendrocygne des Antilles;Suirirí Yaguaza;Dendrocygna arborea;DNO;;;DC65FCE73C5A66BA;;;No;No;No;Yes;Anatidae;Anatidés;Ducks, Geese, Swans;Canards, oies, cygnes;Dendrocygninae;Anseriformes;;;;N/A;WIWD;;1771;10200
10;Yes;FUWD;;Fulvous Whistling-Duck;Dendrocygne fauve;Pijije Canelo;Dendrocygna bicolor;ACC;;;9A60617EE376ABE9;Accidental;Not Applicable - Non applicable;No;No;No;Yes;Anatidae;Anatidés;Ducks, Geese, Swans;Canards, oies, cygnes;Dendrocygninae;Anseriformes;;;;WF;FUWD;;1780;01780
