groupe_fonctionnel;division_taxonomique;nomfr;nomla;milieu_marin;zone_alimentation;species_id
Plongeur pélagique;Alcidés 1;Petit Pingouin ;Alca torda;Côtier;Plongeur;RAZO
Plongeur pélagique;Alcidés 1;Guillemot à miroir;Cepphus grylle;Côtier;Plongeur;BLGU
Plongeur pélagique;Alcidés 2;Guillemot marmette;Uria aalge;Pélagique;Plongeur;COMU
Plongeur pélagique;Alcidés 2;Guillemot de Brünnich;Uria lomvia;Pélagique;Plongeur;TBMU
Plongeur pélagique;Alcidés 3;Macareux moine ;Fratercula arctica;Pélagique;Plongeur;ATPU
Plongeur pélagique;Alcidés 4;Mergule nain;Alle alle;Pélagique;Plongeur;DOVE
Plongeur pélagique;Fous;Fou de Bassan;Morus bassanus;Pélagique;Plongeur;NOGA
De surface pélagique;Procellariidés;Fulmar boréal;Fulmarus glacialis;Pélagique;De surface;NOFU
De surface pélagique;Procellariidés;Puffin majeur;Ardenna gravis;Pélagique;De surface;GRSH
De surface pélagique;Procellariidés;Puffin des Anglais;Puffinus puffinus;Pélagique;De surface;MASH
De surface pélagique;Procellariidés;Puffin fuligineux;Ardenna grisea;Pélagique;De surface;SOSH
De surface pélagique;Océanites 1;Océanite cul-blanc;Oceanodroma leucorhoa;Pélagique;De surface;LESP
De surface pélagique;Océanites 2;Océanite de Wilson;Oceanites oceanicus;Pélagique;De surface;WISP
De surface pélagique;Mouettes 1;Mouette tridactyle;Rissa tridactyla;Pélagique;De surface;BLKI
De surface pélagique;Mouettes 2;Mouette de Franklin;Leucophaeus pipixcan;Pélagique;De surface;FRGU
De surface pélagique;Mouettes 2;Mouette de Sabine;Xema sabini;Pélagique;De surface;SAGU
De surface pélagique;Mouettes 3;Mouette blanche;Pagophila eburnea;Pélagique;De surface;IVGU
Plongeur côtier;Canards de mer 1;Eider à tête grise;Somateria spectabilis;Côtier;Plongeur;KIEI
Plongeur côtier;Canards de mer 2;Eider à duvet;Somateria mollissima;Côtier;Plongeur;COEI
Plongeur côtier;Canards de mer 3;Macreuse à front blanc;Melanitta perspicillata;Côtier;Plongeur;SUSC
Plongeur côtier;Canards de mer 3;Macreuse brune;Melanitta fusca;Côtier;Plongeur;VESC
Plongeur côtier;Canards de mer 3;Macreuse à bec jaune;Melanitta nigra;Côtier;Plongeur;BLSC
Plongeur côtier;Canards de mer 4;Harelde kakawi;Clangula hyemalis;Côtier;Plongeur;LTDU
Plongeur côtier;Canards plongeurs 1;Arlequin plongeur;Histrionicus histrionicus;Côtier;Plongeur;HADU
Plongeur côtier;Canards plongeurs 2;Fuligule à dos blanc;Aythya valisineria;Côtier;Plongeur;CANV
Plongeur côtier;Canards plongeurs 2;Fuligule à tête rouge;Aythya americana;Côtier;Plongeur;REDH
Plongeur côtier;Canards plongeurs 2;Fuligule à collier;Aythya collaris;Côtier;Plongeur;RNDU
Plongeur côtier;Canards plongeurs 2;Fuligule milouinan;Aythya marila;Côtier;Plongeur;GRSC
